归一化序号,新闻标题,URL,爬取时间
0.125,刚刚，英伟达革了自己的命：智能体自主进化7天，干掉所有算子工程师、GPU专家,https://www.36kr.com/p/3739201554399237,2026-03-27 10:42
0.25,别被泡泡玛特的股价骗了,https://www.36kr.com/p/3739240946299401,2026-03-27 10:42
0.375,张雪峰去世了，但他留下了硬科技“遗产”,https://www.36kr.com/p/3739085585793030,2026-03-27 10:42
0.5,8点1氪丨雷军辞去金山云董事长；苹果回应iPhone半夜自动打电话；速效救心丸成交额同比增长超10倍,https://www.36kr.com/p/3740427947426049,2026-03-27 10:42
0.625,马斯克，要启动史上最大IPO了,https://www.36kr.com/p/3738412709773570,2026-03-27 10:42
0.75,前谷歌产品负责人：“我雇了40个AI代理，每月500美元，顶5万美元的团队”,https://www.36kr.com/p/3739212617528064,2026-03-27 10:42
0.875,告别张雪峰：教育大厂与AI大模型进场，洗牌一触即发,https://www.36kr.com/p/3738440110011139,2026-03-27 10:42
1.0,Token 官方定名“词元”，为啥非得起个中文名？,https://www.36kr.com/p/3738457149325321,2026-03-27 10:42
0.05,本周看什么 | 最近值得一看的 12 部作品,https://sspai.com/post/107582,2026-03-27 10:42
0.1,年度征文｜效率杂谈：告别纸笔拓荒，怎么用 AI 来辅助学习？,https://sspai.com/post/106878,2026-03-27 10:42
0.15,本周看什么 | 最近值得一看的 9 部作品,https://sspai.com/post/107183,2026-03-27 10:42
0.2,App+1｜给「类原生」用户的来电拦截工具：Pixel Telo,https://sspai.com/post/107136,2026-03-27 10:42
0.25,最便宜的 Mac 笔记本：MacBook Neo 首发体验,https://sspai.com/post/107031,2026-03-27 10:42
0.3,今夜，大模型从世界消散,https://sspai.com/post/106939,2026-03-27 10:42
0.35,年度征文 | 最后一页并不存在——我的2025,https://sspai.com/post/106957,2026-03-27 10:42
0.4,派评｜近期值得关注的 App,https://sspai.com/post/106974,2026-03-27 10:42
0.45,杀死你的不是它：聊聊我们的 AI 的焦虑,https://sspai.com/post/106923,2026-03-27 10:42
0.5,本周看什么 | 最近值得一看的 8 部作品,https://sspai.com/post/106906,2026-03-27 10:42
0.55,新玩意 237｜少数派的编辑们最近买了啥？,https://sspai.com/post/106868,2026-03-27 10:42
0.6,从采集到回顾，我用 AI 搭建了一套个人信息处理系统,https://sspai.com/post/106477,2026-03-27 10:42
0.65,年度征文｜减了肥，人生就会变好吗？,https://sspai.com/post/106785,2026-03-27 10:42
0.7,派评 | 近期值得关注的 App,https://sspai.com/post/106749,2026-03-27 10:42
0.75,年度征文｜在新加坡，住最昂贵的房子，过最憋屈的日子,https://sspai.com/post/106743,2026-03-27 10:42
